Designator,Package,Quantity,Designation,MPN,LCSC,
"C1,C3,C5,C9,C25,C28,C33,C30,C38,C35,C43,C40,C48,C45,C50,C53,C55,C58,C60,C63,C66,C67",C-0402,22,0u1,CL05B104KO5NNNC,C1525,1
C11,C-0805,1,47n,CL21B473KCFNNNE,C61096,1
C12,C-1206,1,1u,CL31B105KCHNNNE,C13832,1
C13,C-2220,1,10u,22201C106MAT2A,C153035,1
"C14,C18,C17",C-0805,3,4u7,CL21A475KAQNNNE,C1779,1
"C2,C4,C6,C7,C10,C15,C16,C19,C20,C24,C26,C8,C29,C31,C34,C36,C39,C41,C44,C46,C49,C51,C54,C56,C59,C61",C-0402,26,1u,CL05A105KP5NNNC,C52923,1
C21,C-0402,1,0u22,885012105011,C16772,1
C23,C-0805,1,0u1,CL21B104KACNNNC,C49678,1
"C27,C32,C37,C42,C47,C52,C57,C62",C-0402,8,47n (100n),GRM155R62A104KE14D,C162179,1
"C68,C22,C64,C65",C-0805,4,1u,CL21B105KOFNNNG?,C28323,1
"D3,D1,D2",D-0402,3,BL-HUB37A-AV-TRB,150040VS73240,C165980,3
D4,SOD-80,1,LL4148,LL4148-M-08,C9808,1
"J1,J2,J3,J4,J5,J6,J7,J8",U.FL,8,Conn_Coaxial,U.FL-R-SMT-1(40),C88374,1
J9,C35165,1,Raspberry_Pi_40P-Connector,,C3165,0
L1,SRN4018,1,150uH,SRN4018-151M,C285835,1
L2,L-1210,1,1mH,CBC3225T102KR,C114766,1
"L3,L4",L-0805,2,47u,LBR2012T470K,C14304,1
"L7,L6,L5",L-0805,3,10u,MLZ2012M100WT000,C1046,1
Q1,SOT-23-3,1,BSS123L,BSS123LT1G,C78755,1
R1,R-0402,1,806R,RMCF0402FT806R,C150511,1
R2,R-0402,1,100K,RT0402BRE07100KL,,1
R3,R-0402,1,2K49,RMCF0402FT2K49,,1
R4,R-0402,1,20R,RMCF0402JT20R0,,1
R5,R-0402,1,2K37,RT0402BRD072K37L,,1
"R6,R10,R14,R18,R22,R26,R30,R34",R-0402,8,1K,CRG0402J1K0,,1
"R7,R8,R12,R11,R15,R16,R19,R20,R23,R24,R28,R27,R32,R31,R36,R35",R-0402,16,49R9,RT0402BRD0749R9L,,1
"R9,R13,R17,R21,R25,R29,R33,R37",R-0402,8,20K,RT0402BRD0720KL,,1
SH1,S03-30100300R,1,S03-30100300R,S03-30100300R,N/A,1
"U1,U2,U3,U4,U5,U6,U7,U8",SOT-23-5,8,OPA846,OPA846IDBVR,C205997,1
U10,SOT-23-5,1,MIC5504-1.2YM5,MIC5504-1.2YM5-TR,,1
U11,TQFN-12,1,MAX1932,MAX1932ETC+T,,1
U12,DAC80508-RTE,1,DAC60508ZRTE,DAC60508ZRTET,,1
U13,MEA1-D,1,MEA1D0505DC,MEA1D0505DC,,1
U9,ICE40-LP384-QFN32,1,ICE40-LP384-SG32,ICE40LP384-SG32,,1
